id,question,A,B,C,D,answerKey,choice_type,exp,subject_name,topic_name
8ef7b269-b6d6-4c45-b706-df1e87744c90,Lefort 1 osteotomy essentially involves osteotomy of how many bones?,2,3,4,5,D,multi,,Surgery,
7b08c0f1-55fc-45d7-b4e1-b6e4666a1f88,A 26 years old patient c/o foul smelling greyish white discharge diagnosed to be Gardnerella vaginalis infection. Microscopic finding is suggestive of?,Group of bacilli arranged in chain forms,Bacteria found to be engulfed by macrophages,Bacteria adherent to lining vaginal epithelial cells,Bacteria arranged in cluster forms,C,single,"Ans C. Bacteria adherent to lining vaginal epithelial cellsGardnerella vaginalis, facultatively anaerobic gram-variable rod, is one of the organisms responsible for bacterial vaginosis (BV).The vaginal discharge of BV is characteristically described as a thin, gray, homogeneous fluid that is adherent to the vaginal mucosa. A fishy vaginal odour, which is paicularly noticeable following coitusis present.Demonstration of clue cells on a saline smear is the most specific criterion for diagnosing BV.The whiff test may be positive in up to 70% of BV patients.The vaginal discharge of patients with BV is notable for its lack of polymorphonuclear leukocytes (PMNs), typically 1 or less than 1 PMN per vaginal epithelial cell.",Gynaecology & Obstetrics,
bcc3680a-8167-4c75-ba0c-b7c94cb440b6,All of the following are done to remove Confounding except,Randomization,Random Selection,Matching,Blinding,B,multi,"Confounding factor - related to both the exposure and the outcome It leads to mistaken outcomes in the study, which leads to error in the study. Endemic Goitre is usually found in high altitudes, showing thereby an association between the two. However, we know that the goiter is not because of altitude but because of environmental deficiency of Iodine. Methods used to control confounding: Methods used to control confounding: METHOD UTILITY IN CONTROLLING CONFOUNDING 1. Randomization Most ideal method 2. Restriction Limiting study to people who have paicular characteristics 3. Matching Mostly useful in case control studies 4. Stratification Useful for larger studies 5. Statistical Modeling When many confounding variables exist simultaneously 6. Blinding Bias is also a type of confounding",Social & Preventive Medicine,AIIMS 2019
e8f48ed7-e417-422a-acde-9f7cb2c25416,Impression compound is characterized by all the following except:,Warps at room temperature,Is a thermoset material,Shows increased flow when kneaded with water,Low coefficient of thermal conductivity,B,multi,Impression compound is not a thermoset material.,Dental,
f0f91922-12fd-4213-871c-19e47532a6d6,"In a study, two groups of newborns are checked for their weights based on whether their mothers received food supplements or not. The appropriate test which can be used for comparing the data is:",Chi square test,Paired T-test,Student's T-test,Fischer exact test,C,single,"Ans: C. Student's T-test(Ref Park 22/e p795; Biostatistics by Mahajan 7/e p134)Here, comparing a parametric quantitative variable (weight) in two unrelated group of people.Hence, ""Student's t-test"" used.Student t-test:Used when outcome variable is normally distributed in population (for quantitative data).Ex: BP, blood glucose.",Social & Preventive Medicine,
7e38cd45-2858-4483-b448-d461bde268ee,All of the following are induction agents except:September 2007,Thiormtal,Halothane,Nitrous oxide,Propofol,C,multi,"Ans. C: Nitrous oxideGeneral anaesthesia can be induced by intravenous (IV) injection, or breathing a volatile anaesthetic through a facemask (inhalational induction).Onset of anaesthesia is faster with IV injection than with inhalation, taking about 10-20 seconds to induce total unconsciousness.This has the advantage of avoiding the excitatory phase of anaesthesia, and thus reduces complications related to induction of anaesthesia.An inhalational induction may be chosen by the anesthesiologist where IV access is difficult to obtain, where difficulty maintaining the airway is anticipated, or due to patient preference (e.g. children).Commonly used IV induction agents include propofol, sodium thiopental, etomidate, and ketamine.The most commonly-used agent for inhalational induction is sevoflurane because it causes less irritation than other inhaled gasesIn order to prolong anaesthesia for the required duration (usually the duration of surgery), anaesthesia must be maintained. Usually this is achieved by allowing the patient to breathe a carefully controlled mixture of oxygen, nitrous oxide, and a volatile anaesthetic agent or by having a carefully controlled infusion of medication, usually propofol, through an IV.Induction Characteristics & Dosage Requirements for Currently AvailableSedative & Hypnotic DrugsDrug NameInduction Dose (mg/kg)Onset (sec)Duration (min)Thiopental3-6<305-10Methohexital1-3<305-10Propofol1.5-2.515-455-10Midazolam0.2-0,430-9010-30Diazepam0.3-0.645-9015-30Lorazepam0.03-0.0660-12060-120Etomidate0.2-0.33-123-12Ketamine1-210-2010-20",Anaesthesia,
85377a0a-3388-46b2-b2ba-43b90a2b7955,Which vaccine is effective for Mass vaccination post-disaster?,Cholera,Typhoid,Measles,Scrub typhus,C,single,"Measles vaccine is effective post-disaster. Incubation period - 10-14 days IP of Vaccine Induced Measles(VIM) - 7 days, hence immunity is provided before the natural infection. The highest risk of transmission post-disaster is of diarrhoeal and respiratory diseases, which have an incubation period of a few days. ABSOLUTELY contraindicated in post-disaster phase for mass vaccination Typhoid Cholera Tetanus .",Social & Preventive Medicine,AIIMS 2019
92ffd21c-7c27-4993-ba50-4145217b05cb,Dengue shock syndrome is characterized by the following except :,Hepatomegaly,Pleural effusion,Thrombocytopenia,Decreased haemoglobin,D,multi,"Dengue hemorrhagic fever :

Fever.
Minor or Major hemorrhgic manifestations.
Hepatomegaly.
Thrombocytopenia 100,000/mm3.
Hypoalbuminemia.
Objective evidence of increased capillaty permeability (hematocrit 20%).
Pleural effusion (by chest radiograph).

​​Criteria for Dengue shock syndrome :
It includes those for dengue hemorrhagic fever plus, Hypotension or narrow pulse.",Pediatrics,
4d60bdc9-a192-424b-96f8-8ce60b75208b,Which of the following is not a major maxillary metal partial denture frame work:,Lingual U plate,Palatal strap,Palatal plate,Single palatal plate,A,single,,Dental,
874a1d82-0b88-40a1-a7d9-6b62376ccf24,Sterilization of hand piece will cause:,Rust of hand piece,Turbine wear,Fibre loss,Loss of torque,C,single,,Dental,
d1ef23c9-e756-4ae2-a91c-992fa658c4c3,Immediate treatment of CSF Rhinorrhoea requires-,Antibiotics and observation,Plugging with paraffin guage,Blowing of nose,Craniotomy,A,single,"Early cases of post traumatic CSF rhinorrhea are managed conservatively (by placing the patient in propped up position, avoiding blowing of nose, sneezing and straining) and
Prophylactic antibiotics (to prevent meningitis).
Persistent cases are treated surgically by nasal endoscopy or by intracranial route.

According to Scott-Brown’s
Endoscopic closure of CSF leak is now the treatment of choice in majority of patients but it should not be done immediately.
First patient should be subjected to diagnostic evaluation and after site of leakage is confirmed, it should be closed endoscopically.",ENT,
06bece2b-7071-448b-8681-a396bcf4c0f5,"Phosphate bonded investment should be completely carbon free, otherwise:",Investment chips off when molten metal enters the mold space,Black castings,Carbon makes the casting brittle,Smooth casting,C,single,"Carbon is often added to the powder to produce clean castings and facilitate the divesting of the casting from the investment mold. This addition is appropriate when the casting alloy is gold, but there is disagreement regarding the effects of carbon in phosphate investments used for casting silver-palladium alloys, palladium-silver alloys, or base metal alloys. It is believed that carbon can embrittle the alloys, even though the investment is heated to temperatures that burn out the carbon. Some evidence indicates that palladium reacts with carbon at temperatures above 1504 °C. Thus, if the casting temperature of an alloy with high palladium content exceeds this critical point, a phosphate investment without carbon should be used.
Ref: Phillip’s 12th edition page 208",Dental,
ad195e5d-7f52-42cc-a183-b05e3181d0ab,"A 40 years old female presented with acute onset shoness of breath. She has a history of nephrotic syndrome 1 year back and recent prolonged air travel. She has a BP of 90/60 mm Hg, hea rate of 115 per minute and sinus tachycardia on ECG. A 2-D echocardiogram revealed dilation of right ventricle with bulging of the interventricular septum to the left. What will be the primary treatment modality?",Thrombectomy,Intravenous tissue plasminogen activator,Unfractionated heparin,d. IVC filter,B,single,"Ans: B. Intravenous tissue plasminogen activator (Ref: Harrison 19/e p1634-1636, 18/2170-2177)Findings indicate patient most probably suffering from massive pulmonary embolism.Management of Massive Pulmonary Embolism:For patients with massive PE & hypotension, replete volume with 500 mL of normal saline.Additional fluid should be infused with extreme caution-Due to excessive fluid administration exacerbates RV wall stress a more profound RV ischemia & worsens LV compliance and filling.Dopamine & dobutamine - 1st line inotropic agents for PE-related shock treatment.Fibrinolysis in Massive Pulmonary Embolism:Preferred fibrinolytic regimen: Recombinant tissue plasminogen activator (tPA).Contraindications: Intracranial disease, recent surgery & trauma.",Medicine,
631db9fb-f930-40f3-a867-273597e5c7f9,Pre-carve burnishing is useful for all except:,Bring further excess mercury to surface,Increase surface hardness,Decrease number and size of voids,Marginal adaptation,B,multi,"Objectives of Precarve Burnishing

Improves the marginal integrity of restoration.
Shapes the restoration according to contours and curvatures of the tooth.
Helps in reducing the mercuric content of amalgam.

Nisha Garg, Amit Garg. Textbook of Operative Dentistry.  Edition 3. Page: 341",Dental,
8c2a3258-e79f-4872-9de3-a0abc701f711,Which facial bone is most prone to fracture?,Mandible,Nasal,Zygoma,Frontal,B,single,,Surgery,
4135c1a9-44e4-4872-a329-3cc4b7c1a587,Which of the following is common to both zinc eugenol cement and polycarboxylate cement?,Polyacrylic acid is liquid,Chemical bond to tooth structure,Chelation,Substitution of eugenol by EBA to increase strength of cement,C,multi,,Dental,
dbf438a0-20c0-4eb7-a94a-f337ffabf5af,Which of the following is not true about H. influenza?,Rarely presents as meningitis in children less than 2 months of age,Capsular polypeptide protein is responsible for virulence,Requires factor V and X for growth,Most common invasive disease of H. influenza is meningitis,B,multi,,Microbiology,
36cbec15-89a6-44e5-a98b-cb2a68a4b01e,All of the following can be used to decreased intraocular pressure in glaucoma except?,Mannitol,Methazolamide,Clonidine,Dexamethasone,D,multi,"Explanation- Dexamethasone is a coicosteroid. coicosteroids are contraindicated in Glaucoma , as they result in fuher increase in the intraocular pressure. Mannitol is drug of choice for acute congestive glaucoma. For acute attack of close angle glaucoma mannitol is given IV it result in considerable decrease in Intraocular pressure.Hypeonic mannitol decongest the eye by osmotic action. TOPICAL DRUGS FOR GLAUCOMA b-Adrenergic blockers a-Adrenergic agonists Prostaglandin analogues Carbonic anhydrase inhibitors Miotics Timolol Betaxolol Levobunolol Caeolol Dipivefrine Apraclonidine Brimonidine Latanoprost Travoprost Bimatoprost Dorzolamide Brinzolamide Pilocarpine Physostigmine Echothiophate Methazolamide is carbonic anhydride inhibitor and clonidine is alpha 2 agonist. These can also cause decrease in intra ocular pressure.",Pharmacology,AIIMS 2019
7a660bba-aabd-448d-9d13-38ee7837c97f,Predisposing clinical condition for endodontic flare up?,Acute periapical abscess,Acute apical periodontitis,Asymptomatic necrotic pulp with periapical lesion,Pain and swelling since the treatment,C,single,,Dental,
ec1866a1-00c2-425a-8886-ff7321defbd9,Which focal length in the objective piece of microscope is commonly used for ear surgery?,100mm,250 mm,450mm,950 mm,B,single,"Focal length of objective lens:

For ear surgery - 200 mm/ 250 mm
For Nose / Paranasal sinus surgery - 300 mn
For Laryngeal surgery-400 mn",ENT,
731b980a-f36b-45bd-b1cf-538fd90541fc,Paradoxical undressing seen in -,Immersion syndrome,Heat cramps,Hypothermia,Heat exhaustion,C,single,"Ans- c- hypothermiaParadoxical undressing is a term for a phenomenon frequently seen in cases of lethal hypothermia. Sholy before death, the person will remove all their clothes, as if they were burning up, when in fact they are freezing.",Forensic Medicine,
1b18ac4d-8101-48f1-bcc9-b53391c550ab,Acetazolamide is given to a patient of angle closure glaucoma. It is a non- competitive inhibitor of carbonic anhydrase enzyme. Which of the following should be the effect of this drug?,Decrease in Vmax,Decrease in Km,Decrease in both Km and Vmax,No change in Vmax,A,multi,"Enzyme inhibition is of 3 types: Type of inhibition Km Vmax Competitive inhibition Increases No change Non competitive inhibition No change Decreases Uncompetitive inhibition Decreases Decreases In question non competitive inhibitor is given, so answer is decrease in Vmax.",Pharmacology,AIIMS 2018
9468ca2d-bf9d-4819-8e72-15c5d9c6df2f,"A pregnant female presents with fever. On lab investigation her Hb was decreased (7 mg%), TLC was normal and platelet count was also decreased. Peripheral smear shows fragmented RBCs. Which is least probable diagnosis?",DIC,TTP,HELLP syndrome,Evans syndrome,D,single,"The clinical scenario of the patient shows the following signs and symptoms:

Fever
Anemia
Thrombocytopenia
Normal total leukocyte count
Fragmented RBCs (Schistocytes) on peripheral smear.

Now let us review each option one by one
Option (a): DIC 
Harrison 20/e, p 979

DIC may present with sudden onset of fever (as the M/c cause of D/c is sepsis)
Excessive bleeding may lead to anemia
Platelet consumption may lead to thrombocytopenia
Leukocyte count is not affected
Intravascular microangiopathic hemolysis can lead to schistocytes on peripheral smear.

Williams Obs 23/e, p 786
Option (b): TTP i.e Thrombotic thrombocytopenic purpura.
TTP presents with a pentad of:

Fever
Microangiopathic haemolytic anemia, leading to anemia and fragmentation of RBCs
Thrombocytopenia
Neurologic symptoms
Renal failure.

Option (c): HELLP syndrome
HELLP syndrome presents with the combination of:

Hemolysis because of which fragmented RBC’s may be seen
Elevated liver enzymes and
Low platelet count
Fever may or may not be present.

Oprion (d): Evans syndrome
Hoffman: Hematology: Basic Principle and Practice, 5/e

Evans syndrome is an autoimmune disease in which an individual’s antibodies attack their own red blood cells and platelets.
Its overall pathology resembles a combination of autoimmune haemolytic anemia and idiopathic thrombocytopenic purpura.
Autoimmune hemolysis leads to the formation of spherocytes and not schistocytes.
Schistocytes are fragmented RBCs that are the result of microangiopathic hemolysis.
Autoiminune destruction of RBCs leads to the formation of spherocytes.

Hence, Evans syndrome is the least likely possibility in this clinical scenario.",Gynaecology & Obstetrics,
2365c24e-f8c2-4495-9df4-fca568c5c276,"About giant cell tumor, all are true except:",Commonly presents in the 20-40 year age group,Matrix consists of proliferating mononuclear cells,Osteoclast giant cells constitute the proliferative component of the tumor,It is a benign tumor which may have lung metastasis,C,multi,"Ans: C. Osteoclast giant cells constitute the proliferative component of the tumor(Ref: Robbins 9Ie p1204; Apley's 9Ie p202).In giant cell tumors, osteoclast giant cells are the malignant cells, which induce the proliferation of mononuclear macrophage lineage cells, hence the dividing cell population is the mononuclear cells which form the matrix.Osteoclast giant cells do not constitute the proliferative component of the tumor.",Surgery,
2c7e29e5-6824-4217-af1e-7c5b40d57ea5,"A 40 years old female currently on a drug for psychiatric illness and hypeension presents with NYHA class III hea failure with dyspnea, pedal edema and K+ levels of 5.5 mEq/L and creatinine 2.5 mg%. Which of the following drug is best avoided?",Carvedilol,Enalapril,Spironolactone,Digoxin,C,single,"Answer- C. Spironolactone In this case patient is having heafailure with hyperkalemia and renal dysfunction with psychiatric illness. Spironolactone and enalapril, both causes hyperkalemia hut spironolactone csuses CNS depression also. Digoxin causes hypokalemia In this patient, spironolactone should be avoided.Mechanism of ActionPharmacologic antagonist of aldosterone in collecting tubulesWeak antagonism of androgen receptorsWeak inhibitor of testosterone synthesis",Medicine,
f87f02ae-e248-473d-9a03-5a866b0dfbee,True about LDL receptor:,It recognizes apo B100 and apo E,Involved in endocytosis process,Present in both hepatic and extrahepatic cells,All of the above,D,multi,"LDL receptor:

It recognizes apo B-100 and apo-E.
Has clathrin coating.
Involved in endocytosis process.
Present in both hepatic and extra-hepatic cells.",Biochemistry,
cc1da36a-147f-4b74-9015-b7640ebb7ead,Most common cause of lobar hemorrhage in elderly age group ?,Hypeension,Vascular malformation,Coagulopathy,Amyloid angiopathy,D,single,"Though hypeension is the most common cause of intracerebral hemorrhage, the usual site for it is putamen, thalamus, pons and cerebellum. But lobar hemorrhage in elderly is most commonly due to cerebral amyloid angiopathy, where there is amyloid deposition in the walls of cerebral aeries following aeriolar degeneration.",Medicine,AIIMS 2017
93645af3-21d4-4a69-bd63-b181635715f4,The cause of bone destruction in juvenile periodontitis is:,Phagocytosis are reduced,Reduced neutrophilic chemotaxis,Decreased host resistance,Highly virulent microorganisms,B,single,,Dental,
aca2add1-e577-45a3-b62e-7143ad56ac2d,"The strength of a gypsum investment is dependent
on:",Carbon content,Silica content,Gypsum,Copper,C,single,"α-hemihydrate of gypsum, and quartz or cristobalite are forms of silica. Most investments contain the α-hemihydrate of gypsum, because of its greater strength. This gypsum product serves as a binder for the other ingredients and to provide rigidity. The strength of the investment is dependent on the amount of binder used. The investment powder may contain 25% to 45% of calcium sulfate hemihydrate. Gypsum shrinks considerably, when it is heated. If the proper forms of silica are employed in the investment, this contraction during heating can be eliminated and changed to an expansion.
Ref: Phillips 12th edition page 201",Dental,
c434a6cb-2867-4c28-a032-a0fc2bba700a,Chronic hyperpLastic pulpitis is,necrotizing,suppurative lesion,proliferation of a chronically inflamed pulp,also called as phoenix abscess,C,multi,,Pathology,
9ba605e2-bf6d-427b-a4ed-c8948569ac22,Nobel prize for medicine/physiology in 2018 for the discovery of:,Apoptotic pathway,Crispr-Cas9,Negative immune regulation,Molecular mechanisms controlling circadian rhythm,C,single,"Ans. C. Negative immune regulationNobel Prize in Physiology or Medicine jointly, has been awarded to James P. Allison/Tasuku Honjo for their discovery of cancer therapy by inhibition of negative immune regulation.James P. Allison studied a known protein that functions as a brake on the immune system. He realized the potential of releasing the brake and thereby unleashing our immune cells to attack tumors.Cytotoxic T-Lymphocyte-associated Antigen 4 (CTLA-4) and Programmed Death 1 (PD-1) immune checkpoints are negative regulators of T-cell immune function. Inhibition of these targets, resulting in increased activation of the immune system, has led to new immunotherapies for melanoma, non-small cell lung cancer, and other cancers.For several types of cancer, including lung cancer, renal cancer, lymphoma and melanoma checkpoint therapy against PD-1 has proven more effective and positive results found.But recent clinical studies indicate that for melanoma the combination therapy of both CTLA-4 and PD-1 is more effective.Thus, Allison and Honjo combine different strategies to release the brakes on the immune system with the aim of eliminating tumor cells even more efficiently.Their paper formed the basis of current cancer immunotherapy.But the original concept of cancer immunotherapy was discovered by William Bradley Coley (1872).",Medicine,
55b01624-a67f-4680-b4df-f5f693a5ba90,"When length of a spring is doubled, the effect is:",Doubled,Four times,Six times,Eight times,D,single,,Dental,
5431f910-7edc-4bf7-a59a-00196a99b846,Risk of endocarditis is more in all   in all of the following lesions except:,VSD.,MR.,AR.,ASD.,D,multi,"Risk of endocarditis is less in low pressure lesions like Atrial septal defect (ASD) while it is more in high pressure lesions like ventricular septal defect (VSD), mitral regurgitation and aortic regurgitation.",Medicine,
ee350111-02ad-4142-8dc2-0be524836a16,Function of WHO collaborating centers:,"Collection, collation and dissemination of information",Functioning and forming new guidelines/definitions for diseases,Contact with grass root workers,Collaborate information mainly,A,single,,Dental,
abd507d7-232c-46cb-8605-cb573b86ee2b,Study model with mounted base and trimmed height is:,55 mm,70 mm,60 mm,90 mm,B,single,The cast should be such that the base of the lower model is equal in thickness to that of the maxillary model. The total height of both casts in occlusion should be about 70–75 mm.,Dental,
44cc205e-7682-4501-aed2-4896371856c2,"Flexion, adduction and internal rotation is characteristic posture in -",Anterior dislocation of hip joint,Posterior dislocation of hip joint,Fracture of femoral head,Fracture shaft of femur,B,single,,Orthopaedics,
13775adf-3c9f-46c4-9149-d0a382e24277,Which drug causes flagellate pigmentation of skin?,Bleomycin,Minocycline,Vincristine,Daunorubicin,A,single,"Ans: A. BleomycinRef: Goodman and Gilman, I3,h ed., pg. 1193Few case repos of bleomycin induced flagellate dermatitis and pigmentations are available in literature.",Pharmacology,
c953149a-a76d-47a2-8d08-35614f87217a,Endocarditis culture sampling is done as:,2 culture 12 hrly,1 culture 12 hrly,2 culture 24 hrly,3 culture separated by 1 hr over 24 hour,D,single,,Medicine,
55028fba-fc8a-4c77-ad53-33e7cebc34e6,Fourth generation apex locater based on,Resistance,lmpedence,Frequency,Multiple frequency ratio,D,single,,Dental,
d0bb44e4-6d29-4b19-8046-c47c28b48bc5,Dentin is composed of,70% inorganic,30% inorganic,50% inorganic,96% inorganic,A,single,,Dental,
db26ae0d-84ba-41a5-be53-94723de58182,While performing Burch operation there was significant bleeding and pooting of blood in the space of Retzius. The source of bleeding cannot be visualized. What is the next step in the management?,Call vascular stlrgeon,Give a generalized suture in bleeding area,Lift endopelvic fascia by putting fingers in vagina,Placing surgical drain,C,multi,Ans. C. Lift endopelvic fascia by putting fingers in vaginaBurch colposuspension (retropubic urethropexy) involves the attachment of the fascia at the level of the bladder neck to the iliopectineal ligament (Cooper's ligantent).lt is an abdorninally perfbrmed surgery for stress urinary incontinence .,Gynaecology & Obstetrics,
380d5a44-a18e-4bdf-90be-c812b1ff3885,Prolonged administration of streptomycin may result in damage to the:,Optic nerve,Facial nerve,Auditory nerve,Trigeminal nerve,C,single,"Streptomycin (antitubercular) causes vestibular damage on prolonged use.
Adverse effects

This class of drugs is notorious for their adverse effects like ototoxicity and nephrotoxicity.
About 1/5th patients given streptomycin 1 gm BD i.m. experience vestibular disturbances although auditory disturbances are less common. 
Streptomycin has the lowest nephrotoxicity among aminoglycosides; probably because it is not concentrated in the renal cortex.

Reference: Essentials of Medical Pharmacology Eighth Edition KD TRIPATHI page no 94,798",Pharmacology,
