,index,questionID,originalQuestionID,answerKey,examName,question,stem,A,B,C,D,full_question,full_question_test,res_finetuned
11,11,Mercury_405595,405595,B,Mercury,"Which of the following lists units of length from smallest to largest? (A) light-year, astronomical unit, kilometer, angstrom (B) angstrom, kilometer, astronomical unit, light-year (C) astronomical unit, angstrom, kilometer, light-year (D) kilometer, angstrom, light-year, astronomical unit",Which of the following lists units of length from smallest to largest? ," light-year, astronomical unit, kilometer, angstrom "," angstrom, kilometer, astronomical unit, light-year "," astronomical unit, angstrom, kilometer, light-year "," kilometer, angstrom, light-year, astronomical unit",,"Question: Which of the following lists units of length from smallest to largest?  (A)  light-year, astronomical unit, kilometer, angstrom  (B)  angstrom, kilometer, astronomical unit, light-year  (C)  astronomical unit, angstrom, kilometer, light-year  (D)  kilometer, angstrom, light-year, astronomical unit. The correct answer is  "," (C)  astronomical unit, angstrom, kilometer, light-year.























































































































































































































































































































































































































































































































































































































































































































































































































































































































"
12,12,AKDE&ED_2012_4_29,29,A,Alaska Dept. of Education & Early Development,Which statement describes a property of water that most likely causes large rocks to break apart? (A) Water expands when it freezes. (B) Water forms droplets as it falls. (C) Water turns into a gas when it boils. (D) Water takes the shape of its container.,Which statement describes a property of water that most likely causes large rocks to break apart? , Water expands when it freezes. , Water forms droplets as it falls. , Water turns into a gas when it boils. , Water takes the shape of its container.,,Question: Which statement describes a property of water that most likely causes large rocks to break apart?  (A)  Water expands when it freezes.  (B)  Water forms droplets as it falls.  (C)  Water turns into a gas when it boils.  (D)  Water takes the shape of its container.. The correct answer is  ," (D) Water takes the shape of its container. Water is a soft, flexible substance that can deform and bend without breaking, but it does not have the ability to break apart large rocks. The shape of the container that water is stored in can affect its behavior, but it does not determine the properties of the water itself."
13,13,Mercury_182368,182368,A,Mercury,Which of the following structures enables fish to remain at a certain depth without expending energy through swimming? (A) swim bladder (B) lateral line (C) dorsal fin (D) gill slits,Which of the following structures enables fish to remain at a certain depth without expending energy through swimming? , swim bladder , lateral line , dorsal fin , gill slits,,Question: Which of the following structures enables fish to remain at a certain depth without expending energy through swimming?  (A)  swim bladder  (B)  lateral line  (C)  dorsal fin  (D)  gill slits. The correct answer is  ," (A) swim bladder.
Explanation:
The swim bladder is a gas-filled sac located in the abdominal cavity of fish that helps them to remain at a certain depth without expending energy through swimming. The swim bladder acts as a buoyancy organ, providing lift and stability to the fish, allowing it to remain at a certain depth without having to swim continuously to maintain its position.
The lateral line is a sensory system that detects vibrations in the water, but it does not help fish to remain at a certain depth without expending energy through swimming.
The dorsal fin is a fin located on the back of the fish that helps it to steer and maneuver through the water, but it does not provide the same level of buoyancy as the swim bladder.
The gill slits are openings in the side of the fish's head that allow water to flow over the gills and provide oxygen, but they do not help the fish to remain at a certain depth without expending energy through swimming."
14,14,MCAS_2000_4_21,21,C,MCAS,"If your hands are cold, you can warm them by rubbing them together. The heat energy that you produce is caused by (A) insulation. (B) magnetism. (C) friction. (D) conduction.","If your hands are cold, you can warm them by rubbing them together. The heat energy that you produce is caused by ", insulation. , magnetism. , friction. , conduction.,,"Question: If your hands are cold, you can warm them by rubbing them together. The heat energy that you produce is caused by  (A)  insulation.  (B)  magnetism.  (C)  friction.  (D)  conduction.. The correct answer is  "," (C)  friction.
Explanation: When you rub your hands together, you are creating friction between your skin and the other skin or a surface. This friction generates heat energy, which is why your hands feel warmer. So, the correct answer is (C) friction."
15,15,Mercury_7043680,7043680,B,Mercury,Astronomers have been studying objects that are very bright and appear to be very far away. They have since concluded that these objects are distant galaxies with giant black holes at their center known as (A) pulsars. (B) quasars. (C) supernovas. (D) binary stars.,Astronomers have been studying objects that are very bright and appear to be very far away. They have since concluded that these objects are distant galaxies with giant black holes at their center known as , pulsars. , quasars. , supernovas. , binary stars.,,Question: Astronomers have been studying objects that are very bright and appear to be very far away. They have since concluded that these objects are distant galaxies with giant black holes at their center known as  (A)  pulsars.  (B)  quasars.  (C)  supernovas.  (D)  binary stars.. The correct answer is  ," (B) quasars. Quasars are extremely luminous objects that are believed to be powered by supermassive black holes at the centers of galaxies. They are among the brightest objects in the universe, emitting enormous amounts of energy across the entire electromagnetic spectrum, including visible light, X-rays, and even gamma rays. Quasars are found at very large distances from us, and their light takes billions of years to reach us, providing a glimpse into the distant past of the universe."
16,16,Mercury_7093013,7093013,D,Mercury,Plant leaves have tiny pores. These pores help plants release water from their tissues into the (A) lithosphere. (B) biosphere. (C) hydrosphere. (D) atmosphere.,Plant leaves have tiny pores. These pores help plants release water from their tissues into the , lithosphere. , biosphere. , hydrosphere. , atmosphere.,,Question: Plant leaves have tiny pores. These pores help plants release water from their tissues into the  (A)  lithosphere.  (B)  biosphere.  (C)  hydrosphere.  (D)  atmosphere.. The correct answer is  ," (C)  hydrosphere.

Plant leaves have tiny pores called stomata that help plants release water from their tissues into the hydrosphere. The hydrosphere includes all the water on Earth, such as oceans, lakes, rivers, and groundwater. The stomata are found on the underside of leaves and are used for gas exchange, allowing plants to take in carbon dioxide from the atmosphere and release oxygen and water vapor into the air."
17,17,Mercury_7205573,7205573,C,Mercury,All of the planets in the solar system formed at about the same time from a large cloud of gas and dust. How is Earth different from other planets in the solar system? (A) Earth has no natural satellites. (B) Earth's atmosphere is composed of gases. (C) Water is found in all three phases on Earth. (D) Volcanoes release liquid rock onto Earth's surface.,All of the planets in the solar system formed at about the same time from a large cloud of gas and dust. How is Earth different from other planets in the solar system? , Earth has no natural satellites. , Earth's atmosphere is composed of gases. , Water is found in all three phases on Earth. , Volcanoes release liquid rock onto Earth's surface.,,Question: All of the planets in the solar system formed at about the same time from a large cloud of gas and dust. How is Earth different from other planets in the solar system?  (A)  Earth has no natural satellites.  (B)  Earth's atmosphere is composed of gases.  (C)  Water is found in all three phases on Earth.  (D)  Volcanoes release liquid rock onto Earth's surface.. The correct answer is  ," (C)  Water is found in all three phases on Earth.  Earth is different from other planets in the solar system because it is the only one with liquid water on its surface and in its atmosphere. All other planets have water in the form of ice or vapor, but Earth is the only one with liquid water in all three phases: liquid, solid (ice), and gas (water vapor). This unique combination of properties makes Earth a special place for life to exist."
18,18,TIMSS_1995_8_J8,J8,B,TIMSS,Which gas could cause a glowing splint to burst into flame? (A) Neon (B) Oxygen (C) Nitrogen (D) Carbon dioxide,Which gas could cause a glowing splint to burst into flame? , Neon , Oxygen , Nitrogen , Carbon dioxide,,Question: Which gas could cause a glowing splint to burst into flame?  (A)  Neon  (B)  Oxygen  (C)  Nitrogen  (D)  Carbon dioxide. The correct answer is  ," (B)  Oxygen.
Explanation: A glowing splint is a common demonstration of chemistry, where a splint is coated with a combustible material and then ignited. The splint will glow brightly for a short time before burning out. If a gas is present in the air, it can cause the splint to burst into flame more quickly. Oxygen is the most common gas that can cause a glowing splint to burst into flame, as it is the most abundant gas in the air and provides the necessary oxygen for combustion to occur. Neon, nitrogen, and carbon dioxide are not flammable gases and would not cause a glowing splint to burst into flame."
19,19,Mercury_7108063,7108063,B,Mercury,Which of these has been controlled in an attempt to reduce the depletion of ozone in Earth's atmosphere? (A) methods of filtering gasoline (B) use of chlorofluorocarbons (CFCs) (C) methods of radioactive waste storage (D) use of mercury (Hg) compounds,Which of these has been controlled in an attempt to reduce the depletion of ozone in Earth's atmosphere? , methods of filtering gasoline , use of chlorofluorocarbons (CFCs) , methods of radioactive waste storage , use of mercury (Hg) compounds,,Question: Which of these has been controlled in an attempt to reduce the depletion of ozone in Earth's atmosphere?  (A)  methods of filtering gasoline  (B)  use of chlorofluorocarbons (CFCs)  (C)  methods of radioactive waste storage  (D)  use of mercury (Hg) compounds. The correct answer is  ," (B)  use of chlorofluorocarbons (CFCs).



"
20,20,Mercury_SC_402627,402627,C,Mercury,"When light is reflected off an object and enters the eye, it falls on the (A) lens. (B) pupil. (C) retina. (D) cornea.","When light is reflected off an object and enters the eye, it falls on the ", lens. , pupil. , retina. , cornea.,,"Question: When light is reflected off an object and enters the eye, it falls on the  (A)  lens.  (B)  pupil.  (C)  retina.  (D)  cornea.. The correct answer is  "," (C)  retina.

Answer: When light enters the eye, it first passes through the cornea, the clear outer layer of the eye. From there, it enters the pupil, the opening in the center of the iris that regulates the amount of light that enters the eye. The light then falls on the retina, the innermost layer of the eye that contains specialized cells called photoreceptors (rods and cones) that convert the light into electrical signals that are transmitted to the brain. Therefore, the correct answer is (C) retina."
21,21,Mercury_407263,407263,C,Mercury,Which part of digestion is mainly a chemical change? (A) Teeth break food into small pieces. (B) Throat muscles push food toward the stomach. (C) Stomach acids dissolve food into nutrients. (D) Intestinal cells transport nutrients into the blood.,Which part of digestion is mainly a chemical change? , Teeth break food into small pieces. , Throat muscles push food toward the stomach. , Stomach acids dissolve food into nutrients. , Intestinal cells transport nutrients into the blood.,,Question: Which part of digestion is mainly a chemical change?  (A)  Teeth break food into small pieces.  (B)  Throat muscles push food toward the stomach.  (C)  Stomach acids dissolve food into nutrients.  (D)  Intestinal cells transport nutrients into the blood.. The correct answer is  ," (C)  Stomach acids dissolve food into nutrients.  Digestion is a complex process that involves physical, chemical, and microbial changes to break down food into nutrients that can be absorbed and utilized by the body. The stomach is a key organ in this process, as it secretes digestive enzymes and acids that break down food into smaller molecules that can be more easily absorbed by the body. The stomach acids, such as hydrochloric acid and pepsin, are responsible for dissolving food proteins into smaller peptides and amino acids, and breaking down carbohydrates into simple sugars. This chemical change is a crucial step in the digestion process, and it allows the body to access the nutrients it needs to function properly."
22,22,MSA_2012_5_13,13,C,MSA,The water cycle requires energy. The main source of energy for the water cycle is (A) wind (B) gravity (C) the sun (D) the moon,The water cycle requires energy. The main source of energy for the water cycle is , wind , gravity , the sun , the moon,,Question: The water cycle requires energy. The main source of energy for the water cycle is  (A)  wind  (B)  gravity  (C)  the sun  (D)  the moon. The correct answer is  ," (C) the sun.

Answer: The correct answer is (C) the sun. The water cycle requires energy to evaporate water from the surface of the Earth into the atmosphere, and the main source of this energy is the sun. The sun's radiation heats the water, causing it to evaporate. This process is the first step in the water cycle, and it is the primary source of energy for the entire cycle. Gravity plays a role in the water cycle, but it is not the main source of energy. Wind can also play a role in the water cycle, but it is not the main source of energy either. The moon does not have a significant impact on the water cycle, so it is not a valid answer."
23,23,Mercury_412693,412693,D,Mercury,Which sequence has the states of matter listed from least to greatest kinetic energy? (A) solid -> gas -> liquid (B) gas -> liquid -> solid (C) liquid -> solid -> gas (D) solid -> liquid -> gas,Which sequence has the states of matter listed from least to greatest kinetic energy? , solid -> gas -> liquid , gas -> liquid -> solid , liquid -> solid -> gas , solid -> liquid -> gas,,Question: Which sequence has the states of matter listed from least to greatest kinetic energy?  (A)  solid -> gas -> liquid  (B)  gas -> liquid -> solid  (C)  liquid -> solid -> gas  (D)  solid -> liquid -> gas. The correct answer is  ," (B) gas -> liquid -> solid.
Explanation:
The kinetic energy of a substance is related to the motion of its particles. In general, the faster the particles are moving, the more kinetic energy the substance has. Therefore, the sequence of states of matter listed from least to greatest kinetic energy should be:
1. Solid - particles are slowest moving and have the least kinetic energy.
2. Liquid - particles are moving faster than in a solid and have more kinetic energy than in a solid.
3. Gas - particles are moving the fastest and have the most kinetic energy.
Therefore, the correct answer is (B) gas -> liquid -> solid."
24,24,VASoL_2009_5_18,18,A,Virginia Standards of Learning - Science,A student makes a fruit drink by stirring a powdered mix into cold water. Why is the fruit drink a solution? (A) The powder dissolves in the water. (B) The water changes color. (C) The student stirs the water. (D) The water is the proper temperature.,A student makes a fruit drink by stirring a powdered mix into cold water. Why is the fruit drink a solution? , The powder dissolves in the water. , The water changes color. , The student stirs the water. , The water is the proper temperature.,,Question: A student makes a fruit drink by stirring a powdered mix into cold water. Why is the fruit drink a solution?  (A)  The powder dissolves in the water.  (B)  The water changes color.  (C)  The student stirs the water.  (D)  The water is the proper temperature.. The correct answer is  ," (A)  The powder dissolves in the water.  A solution is defined as two or more substances mixed together in a state of homogeneity. In this case, the powdered mix is a solute and the water is the solvent. When the powder is stirred into the water, the solute dissolves into the solvent, creating a homogeneous mixture. Therefore, option (A) is the correct answer."
25,25,Mercury_7220430,7220430,C,Mercury,"Which form of water, when present in the atmosphere, is most likely to contribute to global warming? (A) cloud (B) rain (C) vapor (D) snow","Which form of water, when present in the atmosphere, is most likely to contribute to global warming? ", cloud , rain , vapor , snow,,"Question: Which form of water, when present in the atmosphere, is most likely to contribute to global warming?  (A)  cloud  (B)  rain  (C)  vapor  (D)  snow. The correct answer is  "," (C) vapor. Water vapor is the most important greenhouse gas in the atmosphere, accounting for about 65% of the Earth's greenhouse effect. It is the most abundant greenhouse gas and has the largest direct radiative forcing effect of all the greenhouse gases."
26,26,AKDE&ED_2008_8_51,51,A,Alaska Department of Education and Early Development,How do the circulatory system and the respiratory system depend on one another? (A) Oxygen collected by the respiratory system is carried throughout the body by the circulatory system. (B) Solid wastes collected by the circulatory system are carried throughout the body by the respiratory system. (C) Nutrients collected by the respiratory system are carried throughout the body by the circulatory system. (D) Carbon dioxide collected by the circulatory system is carried throughout the body by the respiratory system.,How do the circulatory system and the respiratory system depend on one another? , Oxygen collected by the respiratory system is carried throughout the body by the circulatory system. , Solid wastes collected by the circulatory system are carried throughout the body by the respiratory system. , Nutrients collected by the respiratory system are carried throughout the body by the circulatory system. , Carbon dioxide collected by the circulatory system is carried throughout the body by the respiratory system.,,Question: How do the circulatory system and the respiratory system depend on one another?  (A)  Oxygen collected by the respiratory system is carried throughout the body by the circulatory system.  (B)  Solid wastes collected by the circulatory system are carried throughout the body by the respiratory system.  (C)  Nutrients collected by the respiratory system are carried throughout the body by the circulatory system.  (D)  Carbon dioxide collected by the circulatory system is carried throughout the body by the respiratory system.. The correct answer is  ," (A). The circulatory system and the respiratory system are interdependent and work together to maintain homeostasis in the body. The circulatory system carries oxygen from the lungs to the body's cells, while the respiratory system collects oxygen from the air we breathe and transports it to the lungs for exchange with carbon dioxide. Without one another, the body would not be able to obtain the oxygen it needs to function properly."
27,27,VASoL_2009_5_20,20,C,Virginia Standards of Learning - Science,At which location are oceans the deepest? (A) Mid-ocean ridge (B) Abyssal plain (C) Ocean trench (D) Volcanic island,At which location are oceans the deepest? , Mid-ocean ridge , Abyssal plain , Ocean trench , Volcanic island,,Question: At which location are oceans the deepest?  (A)  Mid-ocean ridge  (B)  Abyssal plain  (C)  Ocean trench  (D)  Volcanic island. The correct answer is  ," (B) Abyssal plain.
Oceans are deepest at the abyssal plain, which is a flat, featureless area on the ocean floor that is characterized by extreme depths. The deepest part of the ocean is located in the Mariana Trench, which is part of the Pacific Ocean and reaches a depth of approximately 36,000 feet (10,973 meters)."
28,28,Mercury_7081673,7081673,B,Mercury,Which piece of safety equipment is used to keep mold spores from entering the respiratory system? (A) safety goggles (B) breathing mask (C) rubber gloves (D) lead apron,Which piece of safety equipment is used to keep mold spores from entering the respiratory system? , safety goggles , breathing mask , rubber gloves , lead apron,,Question: Which piece of safety equipment is used to keep mold spores from entering the respiratory system?  (A)  safety goggles  (B)  breathing mask  (C)  rubber gloves  (D)  lead apron. The correct answer is  ," (B)  breathing mask.
Explanation: A breathing mask, also known as a respirator, is used to keep mold spores from entering the respiratory system. Mold spores are tiny and can easily be inhaled, causing respiratory problems. A breathing mask fits over the nose and mouth and filters out mold spores and other airborne contaminants, protecting the wearer's respiratory system. Safety goggles, rubber gloves, and a lead apron are not related to mold safety or respiratory protection."
29,29,Mercury_SC_416097,416097,B,Mercury,Which plant part is described correctly? (A) Stems make seeds. (B) Roots absorb nutrients. (C) Leaves absorb water. (D) Flowers make food.,Which plant part is described correctly? , Stems make seeds. , Roots absorb nutrients. , Leaves absorb water. , Flowers make food.,,Question: Which plant part is described correctly?  (A)  Stems make seeds.  (B)  Roots absorb nutrients.  (C)  Leaves absorb water.  (D)  Flowers make food.. The correct answer is  ," (B) Roots absorb nutrients.  Roots are the part of a plant that absorbs water and nutrients from the soil. Stems, leaves, and flowers are also important parts of a plant, but they do not make seeds or absorb nutrients."
30,30,Mercury_7122973,7122973,B,Mercury,A greenhouse is an example of a closed system. Which two types of energy are exchanged in this system? (A) radiant energy for nuclear energy (B) radiant energy for thermal energy (C) thermal energy for nuclear energy (D) nuclear energy for chemical energy,A greenhouse is an example of a closed system. Which two types of energy are exchanged in this system? , radiant energy for nuclear energy , radiant energy for thermal energy , thermal energy for nuclear energy , nuclear energy for chemical energy,,Question: A greenhouse is an example of a closed system. Which two types of energy are exchanged in this system?  (A)  radiant energy for nuclear energy  (B)  radiant energy for thermal energy  (C)  thermal energy for nuclear energy  (D)  nuclear energy for chemical energy. The correct answer is  ," (B)  radiant energy for thermal energy.
Explanation: A greenhouse is a closed system in which energy is exchanged between the environment and the system. The greenhouse traps heat from the sun through absorption of radiant energy, and this heat is then transferred to the interior of the greenhouse through thermal energy. Therefore, the correct answer is (B) radiant energy for thermal energy."
