,index,questionID,originalQuestionID,answerKey,examName,question,stem,A,B,C,D,full_question,full_question_test,res_finetuned
10,10,MCAS_2009_5_6512,6512,C,MCAS,A student sorted mineral samples into two groups: dull and shiny. Which of the following properties did the student use to sort the mineral samples into groups? (A) cleavage (B) color (C) luster (D) streak,A student sorted mineral samples into two groups: dull and shiny. Which of the following properties did the student use to sort the mineral samples into groups? , cleavage , color , luster , streak,,Question: A student sorted mineral samples into two groups: dull and shiny. Which of the following properties did the student use to sort the mineral samples into groups?  (A)  cleavage  (B)  color  (C)  luster  (D)  streak. The correct answer is   ," (C)  luster 
 ### (C)  luster 
 ### (C)  luster 
 ### (C"
11,11,Mercury_405595,405595,B,Mercury,"Which of the following lists units of length from smallest to largest? (A) light-year, astronomical unit, kilometer, angstrom (B) angstrom, kilometer, astronomical unit, light-year (C) astronomical unit, angstrom, kilometer, light-year (D) kilometer, angstrom, light-year, astronomical unit",Which of the following lists units of length from smallest to largest? ," light-year, astronomical unit, kilometer, angstrom "," angstrom, kilometer, astronomical unit, light-year "," astronomical unit, angstrom, kilometer, light-year "," kilometer, angstrom, light-year, astronomical unit",,"Question: Which of the following lists units of length from smallest to largest?  (A)  light-year, astronomical unit, kilometer, angstrom  (B)  angstrom, kilometer, astronomical unit, light-year  (C)  astronomical unit, angstrom, kilometer, light-year  (D)  kilometer, angstrom, light-year, astronomical unit. The correct answer is   ","
 ### (C) "
12,12,AKDE&ED_2012_4_29,29,A,Alaska Dept. of Education & Early Development,Which statement describes a property of water that most likely causes large rocks to break apart? (A) Water expands when it freezes. (B) Water forms droplets as it falls. (C) Water turns into a gas when it boils. (D) Water takes the shape of its container.,Which statement describes a property of water that most likely causes large rocks to break apart? , Water expands when it freezes. , Water forms droplets as it falls. , Water turns into a gas when it boils. , Water takes the shape of its container.,,Question: Which statement describes a property of water that most likely causes large rocks to break apart?  (A)  Water expands when it freezes.  (B)  Water forms droplets as it falls.  (C)  Water turns into a gas when it boils.  (D)  Water takes the shape of its container.. The correct answer is   ,"
 ### (B)  Water forms droplets as it falls. 
 ### (B"
13,13,Mercury_182368,182368,A,Mercury,Which of the following structures enables fish to remain at a certain depth without expending energy through swimming? (A) swim bladder (B) lateral line (C) dorsal fin (D) gill slits,Which of the following structures enables fish to remain at a certain depth without expending energy through swimming? , swim bladder , lateral line , dorsal fin , gill slits,,Question: Which of the following structures enables fish to remain at a certain depth without expending energy through swimming?  (A)  swim bladder  (B)  lateral line  (C)  dorsal fin  (D)  gill slits. The correct answer is   ," (B)  lateral line 
 ### (B)  lateral line 
 ### (B)  lateral line 
 ### (B) "
14,14,MCAS_2000_4_21,21,C,MCAS,"If your hands are cold, you can warm them by rubbing them together. The heat energy that you produce is caused by (A) insulation. (B) magnetism. (C) friction. (D) conduction.","If your hands are cold, you can warm them by rubbing them together. The heat energy that you produce is caused by ", insulation. , magnetism. , friction. , conduction.,,"Question: If your hands are cold, you can warm them by rubbing them together. The heat energy that you produce is caused by  (A)  insulation.  (B)  magnetism.  (C)  friction.  (D)  conduction.. The correct answer is   "," (C)  friction. 
 ### (C)  friction.  » (C)  friction. 
 ### (C)  friction"
15,15,Mercury_7043680,7043680,B,Mercury,Astronomers have been studying objects that are very bright and appear to be very far away. They have since concluded that these objects are distant galaxies with giant black holes at their center known as (A) pulsars. (B) quasars. (C) supernovas. (D) binary stars.,Astronomers have been studying objects that are very bright and appear to be very far away. They have since concluded that these objects are distant galaxies with giant black holes at their center known as , pulsars. , quasars. , supernovas. , binary stars.,,Question: Astronomers have been studying objects that are very bright and appear to be very far away. They have since concluded that these objects are distant galaxies with giant black holes at their center known as  (A)  pulsars.  (B)  quasars.  (C)  supernovas.  (D)  binary stars.. The correct answer is   ,"
 ### (B)  quasars. 
 ### (B)  quasars"
16,16,Mercury_7093013,7093013,D,Mercury,Plant leaves have tiny pores. These pores help plants release water from their tissues into the (A) lithosphere. (B) biosphere. (C) hydrosphere. (D) atmosphere.,Plant leaves have tiny pores. These pores help plants release water from their tissues into the , lithosphere. , biosphere. , hydrosphere. , atmosphere.,,Question: Plant leaves have tiny pores. These pores help plants release water from their tissues into the  (A)  lithosphere.  (B)  biosphere.  (C)  hydrosphere.  (D)  atmosphere.. The correct answer is   ," C)  hydrosphere. 
 ### (C)  hydrosphere. 
 ### (C)  hydrosphere. 
 ### (C)  hyd"
17,17,Mercury_7205573,7205573,C,Mercury,All of the planets in the solar system formed at about the same time from a large cloud of gas and dust. How is Earth different from other planets in the solar system? (A) Earth has no natural satellites. (B) Earth's atmosphere is composed of gases. (C) Water is found in all three phases on Earth. (D) Volcanoes release liquid rock onto Earth's surface.,All of the planets in the solar system formed at about the same time from a large cloud of gas and dust. How is Earth different from other planets in the solar system? , Earth has no natural satellites. , Earth's atmosphere is composed of gases. , Water is found in all three phases on Earth. , Volcanoes release liquid rock onto Earth's surface.,,Question: All of the planets in the solar system formed at about the same time from a large cloud of gas and dust. How is Earth different from other planets in the solar system?  (A)  Earth has no natural satellites.  (B)  Earth's atmosphere is composed of gases.  (C)  Water is found in all three phases on Earth.  (D)  Volcanoes release liquid rock onto Earth's surface.. The correct answer is   , (
18,18,TIMSS_1995_8_J8,J8,B,TIMSS,Which gas could cause a glowing splint to burst into flame? (A) Neon (B) Oxygen (C) Nitrogen (D) Carbon dioxide,Which gas could cause a glowing splint to burst into flame? , Neon , Oxygen , Nitrogen , Carbon dioxide,,Question: Which gas could cause a glowing splint to burst into flame?  (A)  Neon  (B)  Oxygen  (C)  Nitrogen  (D)  Carbon dioxide. The correct answer is   ," (D)  Carbon dioxide 
 ### (D)  Carbon dioxide 
 ### (D)  Carbon dioxide 
 ### (D)  Carbon"
19,19,Mercury_7108063,7108063,B,Mercury,Which of these has been controlled in an attempt to reduce the depletion of ozone in Earth's atmosphere? (A) methods of filtering gasoline (B) use of chlorofluorocarbons (CFCs) (C) methods of radioactive waste storage (D) use of mercury (Hg) compounds,Which of these has been controlled in an attempt to reduce the depletion of ozone in Earth's atmosphere? , methods of filtering gasoline , use of chlorofluorocarbons (CFCs) , methods of radioactive waste storage , use of mercury (Hg) compounds,,Question: Which of these has been controlled in an attempt to reduce the depletion of ozone in Earth's atmosphere?  (A)  methods of filtering gasoline  (B)  use of chlorofluorocarbons (CFCs)  (C)  methods of radioactive waste storage  (D)  use of mercury (Hg) compounds. The correct answer is   ,"
 ### (A)  methods of filtering"
20,20,Mercury_SC_402627,402627,C,Mercury,"When light is reflected off an object and enters the eye, it falls on the (A) lens. (B) pupil. (C) retina. (D) cornea.","When light is reflected off an object and enters the eye, it falls on the ", lens. , pupil. , retina. , cornea.,,"Question: When light is reflected off an object and enters the eye, it falls on the  (A)  lens.  (B)  pupil.  (C)  retina.  (D)  cornea.. The correct answer is   "," (C)  retina. 
 ### (C)  retina.  » (C)  retina.  » (C)  retina. 
 ### (C)  retina"
21,21,Mercury_407263,407263,C,Mercury,Which part of digestion is mainly a chemical change? (A) Teeth break food into small pieces. (B) Throat muscles push food toward the stomach. (C) Stomach acids dissolve food into nutrients. (D) Intestinal cells transport nutrients into the blood.,Which part of digestion is mainly a chemical change? , Teeth break food into small pieces. , Throat muscles push food toward the stomach. , Stomach acids dissolve food into nutrients. , Intestinal cells transport nutrients into the blood.,,Question: Which part of digestion is mainly a chemical change?  (A)  Teeth break food into small pieces.  (B)  Throat muscles push food toward the stomach.  (C)  Stomach acids dissolve food into nutrients.  (D)  Intestinal cells transport nutrients into the blood.. The correct answer is   , (C)  Stomach acids dissolve food into nutri
22,22,MSA_2012_5_13,13,C,MSA,The water cycle requires energy. The main source of energy for the water cycle is (A) wind (B) gravity (C) the sun (D) the moon,The water cycle requires energy. The main source of energy for the water cycle is , wind , gravity , the sun , the moon,,Question: The water cycle requires energy. The main source of energy for the water cycle is  (A)  wind  (B)  gravity  (C)  the sun  (D)  the moon. The correct answer is   ,"
C)  the sun 
 ### (C)  the sun 
 ### (C)  the sun 
 ### (C)  the sun 
 ### (C)  the sun 
 ### (C) "
23,23,Mercury_412693,412693,D,Mercury,Which sequence has the states of matter listed from least to greatest kinetic energy? (A) solid -> gas -> liquid (B) gas -> liquid -> solid (C) liquid -> solid -> gas (D) solid -> liquid -> gas,Which sequence has the states of matter listed from least to greatest kinetic energy? , solid -> gas -> liquid , gas -> liquid -> solid , liquid -> solid -> gas , solid -> liquid -> gas,,Question: Which sequence has the states of matter listed from least to greatest kinetic energy?  (A)  solid -> gas -> liquid  (B)  gas -> liquid -> solid  (C)  liquid -> solid -> gas  (D)  solid -> liquid -> gas. The correct answer is   ,"
B  gas -> liquid -> solid 
 ### (B)  gas -> liquid -> solid 
 ### (B)  gas -> liquid -> solid 
 ###"
24,24,VASoL_2009_5_18,18,A,Virginia Standards of Learning - Science,A student makes a fruit drink by stirring a powdered mix into cold water. Why is the fruit drink a solution? (A) The powder dissolves in the water. (B) The water changes color. (C) The student stirs the water. (D) The water is the proper temperature.,A student makes a fruit drink by stirring a powdered mix into cold water. Why is the fruit drink a solution? , The powder dissolves in the water. , The water changes color. , The student stirs the water. , The water is the proper temperature.,,Question: A student makes a fruit drink by stirring a powdered mix into cold water. Why is the fruit drink a solution?  (A)  The powder dissolves in the water.  (B)  The water changes color.  (C)  The student stirs the water.  (D)  The water is the proper temperature.. The correct answer is   ,"
 ### (A)  The powder dissolves in the water. 
 ###"
25,25,Mercury_7220430,7220430,C,Mercury,"Which form of water, when present in the atmosphere, is most likely to contribute to global warming? (A) cloud (B) rain (C) vapor (D) snow","Which form of water, when present in the atmosphere, is most likely to contribute to global warming? ", cloud , rain , vapor , snow,,"Question: Which form of water, when present in the atmosphere, is most likely to contribute to global warming?  (A)  cloud  (B)  rain  (C)  vapor  (D)  snow. The correct answer is   "," (C)  vapor 
 ### (C)  vapor 
 ### (C)  vapor 
 ### (C)  vapor 
 ### (C)  vapor 
 ###"
26,26,AKDE&ED_2008_8_51,51,A,Alaska Department of Education and Early Development,How do the circulatory system and the respiratory system depend on one another? (A) Oxygen collected by the respiratory system is carried throughout the body by the circulatory system. (B) Solid wastes collected by the circulatory system are carried throughout the body by the respiratory system. (C) Nutrients collected by the respiratory system are carried throughout the body by the circulatory system. (D) Carbon dioxide collected by the circulatory system is carried throughout the body by the respiratory system.,How do the circulatory system and the respiratory system depend on one another? , Oxygen collected by the respiratory system is carried throughout the body by the circulatory system. , Solid wastes collected by the circulatory system are carried throughout the body by the respiratory system. , Nutrients collected by the respiratory system are carried throughout the body by the circulatory system. , Carbon dioxide collected by the circulatory system is carried throughout the body by the respiratory system.,,Question: How do the circulatory system and the respiratory system depend on one another?  (A)  Oxygen collected by the respiratory system is carried throughout the body by the circulatory system.  (B)  Solid wastes collected by the circulatory system are carried throughout the body by the respiratory system.  (C)  Nutrients collected by the respiratory system are carried throughout the body by the circulatory system.  (D)  Carbon dioxide collected by the circulatory system is carried throughout the body by the respiratory system.. The correct answer is   ,"
"
27,27,VASoL_2009_5_20,20,C,Virginia Standards of Learning - Science,At which location are oceans the deepest? (A) Mid-ocean ridge (B) Abyssal plain (C) Ocean trench (D) Volcanic island,At which location are oceans the deepest? , Mid-ocean ridge , Abyssal plain , Ocean trench , Volcanic island,,Question: At which location are oceans the deepest?  (A)  Mid-ocean ridge  (B)  Abyssal plain  (C)  Ocean trench  (D)  Volcanic island. The correct answer is   ," (B)  Abyssal plain 
 ### (B)  Abyssal plain 
 ### (B)  Abyssal plain 
 ### (B)  Aby"
28,28,Mercury_7081673,7081673,B,Mercury,Which piece of safety equipment is used to keep mold spores from entering the respiratory system? (A) safety goggles (B) breathing mask (C) rubber gloves (D) lead apron,Which piece of safety equipment is used to keep mold spores from entering the respiratory system? , safety goggles , breathing mask , rubber gloves , lead apron,,Question: Which piece of safety equipment is used to keep mold spores from entering the respiratory system?  (A)  safety goggles  (B)  breathing mask  (C)  rubber gloves  (D)  lead apron. The correct answer is   ," (B) breathing mask 
 ### (B) breathing mask 
 ### (B) breathing mask 
 ### (B) breathing mask 
"
29,29,Mercury_SC_416097,416097,B,Mercury,Which plant part is described correctly? (A) Stems make seeds. (B) Roots absorb nutrients. (C) Leaves absorb water. (D) Flowers make food.,Which plant part is described correctly? , Stems make seeds. , Roots absorb nutrients. , Leaves absorb water. , Flowers make food.,,Question: Which plant part is described correctly?  (A)  Stems make seeds.  (B)  Roots absorb nutrients.  (C)  Leaves absorb water.  (D)  Flowers make food.. The correct answer is   ,"
B  Roots absorb nutrients. 
 ### (B)  Roots absorb nutrients. 
 ### (B)  Roots absorb nutrients"
30,30,Mercury_7122973,7122973,B,Mercury,A greenhouse is an example of a closed system. Which two types of energy are exchanged in this system? (A) radiant energy for nuclear energy (B) radiant energy for thermal energy (C) thermal energy for nuclear energy (D) nuclear energy for chemical energy,A greenhouse is an example of a closed system. Which two types of energy are exchanged in this system? , radiant energy for nuclear energy , radiant energy for thermal energy , thermal energy for nuclear energy , nuclear energy for chemical energy,,Question: A greenhouse is an example of a closed system. Which two types of energy are exchanged in this system?  (A)  radiant energy for nuclear energy  (B)  radiant energy for thermal energy  (C)  thermal energy for nuclear energy  (D)  nuclear energy for chemical energy. The correct answer is   ,"
B)  radiant energy for thermal energy 
 ### (B)  radiant energy for thermal energy 
 ###"
31,31,MCAS_2004_8_2,2,C,MCAS,"In an effort to preserve wildlife on his farm in Massachusetts, a farmer decides to stop using a 10-acre field. The farmer fences off the area, stops cutting the grass, and stops allowing livestock to graze on it. After twenty years, the area would most likely (A) be covered with moss and rocks. (B) be a mature hardwood forest. (C) be grown over with bushes and small trees. (D) be barren due to lack of maintenance.","In an effort to preserve wildlife on his farm in Massachusetts, a farmer decides to stop using a 10-acre field. The farmer fences off the area, stops cutting the grass, and stops allowing livestock to graze on it. After twenty years, the area would most likely ", be covered with moss and rocks. , be a mature hardwood forest. , be grown over with bushes and small trees. , be barren due to lack of maintenance.,,"Question: In an effort to preserve wildlife on his farm in Massachusetts, a farmer decides to stop using a 10-acre field. The farmer fences off the area, stops cutting the grass, and stops allowing livestock to graze on it. After twenty years, the area would most likely  (A)  be covered with moss and rocks.  (B)  be a mature hardwood forest.  (C)  be grown over with bushes and small trees.  (D)  be barren due to lack of maintenance.. The correct answer is   ","
"
32,32,MCAS_2006_8_25,25,B,MCAS,"Sal is looking at a map of Massachusetts. He has measured the distance, in inches, from Boston to Salem on the map. He wants to know how many actual miles the inches represent. What feature of the map should he look for? (A) key (B) scale (C) legend (D) compass","Sal is looking at a map of Massachusetts. He has measured the distance, in inches, from Boston to Salem on the map. He wants to know how many actual miles the inches represent. What feature of the map should he look for? ", key , scale , legend , compass,,"Question: Sal is looking at a map of Massachusetts. He has measured the distance, in inches, from Boston to Salem on the map. He wants to know how many actual miles the inches represent. What feature of the map should he look for?  (A)  key  (B)  scale  (C)  legend  (D)  compass. The correct answer is   "," (B)  scale 
 ### (B)  scale 
 ### ("
33,33,TIMSS_1995_8_Q16,Q16,D,TIMSS,How long does it take light from the nearest star other than the Sun to reach Earth? (A) Less than 1 second (B) About 1 hour (C) About 1 month (D) About 4 years,How long does it take light from the nearest star other than the Sun to reach Earth? , Less than 1 second , About 1 hour , About 1 month , About 4 years,,Question: How long does it take light from the nearest star other than the Sun to reach Earth?  (A)  Less than 1 second  (B)  About 1 hour  (C)  About 1 month  (D)  About 4 years. The correct answer is   ," C)  About 1 month 
 ### (C)  About 1 month 
 ### (C)  About 1 month 
 ### (C) "
34,34,Mercury_400758,400758,C,Mercury,"Which of these groups contains only metric measurements? (A) inches, grams, ounces (B) inches, pounds, ounces (C) centimeters, grams, milliliters (D) centimeters, pounds, milliliters",Which of these groups contains only metric measurements? ," inches, grams, ounces "," inches, pounds, ounces "," centimeters, grams, milliliters "," centimeters, pounds, milliliters",,"Question: Which of these groups contains only metric measurements?  (A)  inches, grams, ounces  (B)  inches, pounds, ounces  (C)  centimeters, grams, milliliters  (D)  centimeters, pounds, milliliters. The correct answer is   ","
C  centimeters, grams, milliliters 
 ### (C)  centimeters, gr"
35,35,Mercury_SC_401283,401283,B,Mercury,A sea anemone uses poisonous darts to (A) absorb food. (B) defend itself. (C) attract a mate. (D) protect its young.,A sea anemone uses poisonous darts to , absorb food. , defend itself. , attract a mate. , protect its young.,,Question: A sea anemone uses poisonous darts to  (A)  absorb food.  (B)  defend itself.  (C)  attract a mate.  (D)  protect its young.. The correct answer is   ,"
B)  defend itself. 
 ### (B)  defend itself.  (D)  protect its young.. 
 ### (B)  defend itself. 
 ### (B)  defend itself."
36,36,Mercury_416504,416504,C,Mercury,"Both prokaryotes and eukaryotes have small, free-floating organelles. The cell makes these organelles from nucleic acids and amino acids found in food. Without these organelles, the cell could not make proteins. What are these organelles called? (A) chloroplasts (B) mitochondria (C) ribosomes (D) vesicles","Both prokaryotes and eukaryotes have small, free-floating organelles. The cell makes these organelles from nucleic acids and amino acids found in food. Without these organelles, the cell could not make proteins. What are these organelles called? ", chloroplasts , mitochondria , ribosomes , vesicles,,"Question: Both prokaryotes and eukaryotes have small, free-floating organelles. The cell makes these organelles from nucleic acids and amino acids found in food. Without these organelles, the cell could not make proteins. What are these organelles called?  (A)  chloroplasts  (B)  mitochondria  (C)  ribosomes  (D)  vesicles. The correct answer is   ", (
37,37,Mercury_7240923,7240923,A,Mercury,Which statement describes the most likely effect of transformation on bacteria such as E. coli? (A) Transformed bacteria express a new protein product. (B) Transformed bacteria have multiple chromosomes. (C) Transformed bacteria reproduce more quickly. (D) Transformed bacteria become a new species.,Which statement describes the most likely effect of transformation on bacteria such as E. coli? , Transformed bacteria express a new protein product. , Transformed bacteria have multiple chromosomes. , Transformed bacteria reproduce more quickly. , Transformed bacteria become a new species.,,Question: Which statement describes the most likely effect of transformation on bacteria such as E. coli?  (A)  Transformed bacteria express a new protein product.  (B)  Transformed bacteria have multiple chromosomes.  (C)  Transformed bacteria reproduce more quickly.  (D)  Transformed bacteria become a new species.. The correct answer is   ,"
 ### (A)  Transformed bacter"
38,38,Mercury_7228305,7228305,D,Mercury,The cells of organisms found in the phylum Porifera (sponges) are not organized into tissues. What structures are absent in organisms belonging to the phylum Porifera? (A) organelles (B) cells (C) genes (D) organs,The cells of organisms found in the phylum Porifera (sponges) are not organized into tissues. What structures are absent in organisms belonging to the phylum Porifera? , organelles , cells , genes , organs,,Question: The cells of organisms found in the phylum Porifera (sponges) are not organized into tissues. What structures are absent in organisms belonging to the phylum Porifera?  (A)  organelles  (B)  cells  (C)  genes  (D)  organs. The correct answer is   ," (A)  organelles 
 ### (A)  organelles 
 ### (A)"
39,39,Mercury_7024360,7024360,C,Mercury,Which human activity would have the greatest positive impact on the water quality of a stream? (A) releasing warm water into the stream (B) driving cars through the stream (C) reducing use of fertilizers near the stream (D) increasing use of chemicals near the stream,Which human activity would have the greatest positive impact on the water quality of a stream? , releasing warm water into the stream , driving cars through the stream , reducing use of fertilizers near the stream , increasing use of chemicals near the stream,,Question: Which human activity would have the greatest positive impact on the water quality of a stream?  (A)  releasing warm water into the stream  (B)  driving cars through the stream  (C)  reducing use of fertilizers near the stream  (D)  increasing use of chemicals near the stream. The correct answer is   ," (C)  reducing use of fertilizers near the stream 
 ### (C)  reducing use of fert"
40,40,TIMSS_2003_4_pg87,pg87,C,TIMSS,"Minerals are used for making many things including jewelry, chalk, and concrete. Where do we get the minerals needed to make these things? (A) from air (B) from wood (C) from rocks (D) from crops","Minerals are used for making many things including jewelry, chalk, and concrete. Where do we get the minerals needed to make these things? ", from air , from wood , from rocks , from crops,,"Question: Minerals are used for making many things including jewelry, chalk, and concrete. Where do we get the minerals needed to make these things?  (A)  from air  (B)  from wood  (C)  from rocks  (D)  from crops. The correct answer is   ","
 ### (C)  from rocks 
 ### (C)  from rocks 
 ### (C)  from rocks "
