,index,questionID,originalQuestionID,answerKey,examName,question,stem,A,B,C,D,full_question,full_question_test,res_finetuned
19,19,Mercury_7108063,7108063,B,Mercury,Which of these has been controlled in an attempt to reduce the depletion of ozone in Earth's atmosphere? (A) methods of filtering gasoline (B) use of chlorofluorocarbons (CFCs) (C) methods of radioactive waste storage (D) use of mercury (Hg) compounds,Which of these has been controlled in an attempt to reduce the depletion of ozone in Earth's atmosphere? , methods of filtering gasoline , use of chlorofluorocarbons (CFCs) , methods of radioactive waste storage , use of mercury (Hg) compounds,,"### Which of these has been controlled in an attempt to reduce the depletion of ozone in Earth's atmosphere?  (A)  methods of filtering gasoline  (B)  use of chlorofluorocarbons (CFCs)  (C)  methods of radioactive waste storage  (D)  use of mercury (Hg) compounds 
 ### "," (C)  methods of radioactive waste storage 
"
20,20,Mercury_SC_402627,402627,C,Mercury,"When light is reflected off an object and enters the eye, it falls on the (A) lens. (B) pupil. (C) retina. (D) cornea.","When light is reflected off an object and enters the eye, it falls on the ", lens. , pupil. , retina. , cornea.,,"### When light is reflected off an object and enters the eye, it falls on the  (A)  lens.  (B)  pupil.  (C)  retina.  (D)  cornea. 
 ### "," (D)  cornea. 

 ### (D)  cornea. 


 ### (D)  cornea. 



 ### (D)  cornea. 

"
21,21,Mercury_407263,407263,C,Mercury,Which part of digestion is mainly a chemical change? (A) Teeth break food into small pieces. (B) Throat muscles push food toward the stomach. (C) Stomach acids dissolve food into nutrients. (D) Intestinal cells transport nutrients into the blood.,Which part of digestion is mainly a chemical change? , Teeth break food into small pieces. , Throat muscles push food toward the stomach. , Stomach acids dissolve food into nutrients. , Intestinal cells transport nutrients into the blood.,,"### Which part of digestion is mainly a chemical change?  (A)  Teeth break food into small pieces.  (B)  Throat muscles push food toward the stomach.  (C)  Stomach acids dissolve food into nutrients.  (D)  Intestinal cells transport nutrients into the blood. 
 ### "," (A)  Teeth break food into small pieces. 

 ### ("
22,22,MSA_2012_5_13,13,C,MSA,The water cycle requires energy. The main source of energy for the water cycle is (A) wind (B) gravity (C) the sun (D) the moon,The water cycle requires energy. The main source of energy for the water cycle is , wind , gravity , the sun , the moon,,"### The water cycle requires energy. The main source of energy for the water cycle is  (A)  wind  (B)  gravity  (C)  the sun  (D)  the moon 
 ### "," (D)  the moon 
 ### (D)  the moon 
 ### (C)  the sun 
 ### (C)  the sun 
 ### (C)  the sun 

 ### (C)  the sun"
23,23,Mercury_412693,412693,D,Mercury,Which sequence has the states of matter listed from least to greatest kinetic energy? (A) solid -> gas -> liquid (B) gas -> liquid -> solid (C) liquid -> solid -> gas (D) solid -> liquid -> gas,Which sequence has the states of matter listed from least to greatest kinetic energy? , solid -> gas -> liquid , gas -> liquid -> solid , liquid -> solid -> gas , solid -> liquid -> gas,,"### Which sequence has the states of matter listed from least to greatest kinetic energy?  (A)  solid -> gas -> liquid  (B)  gas -> liquid -> solid  (C)  liquid -> solid -> gas  (D)  solid -> liquid -> gas 
 ### ","





































"
24,24,VASoL_2009_5_18,18,A,Virginia Standards of Learning - Science,A student makes a fruit drink by stirring a powdered mix into cold water. Why is the fruit drink a solution? (A) The powder dissolves in the water. (B) The water changes color. (C) The student stirs the water. (D) The water is the proper temperature.,A student makes a fruit drink by stirring a powdered mix into cold water. Why is the fruit drink a solution? , The powder dissolves in the water. , The water changes color. , The student stirs the water. , The water is the proper temperature.,,"### A student makes a fruit drink by stirring a powdered mix into cold water. Why is the fruit drink a solution?  (A)  The powder dissolves in the water.  (B)  The water changes color.  (C)  The student stirs the water.  (D)  The water is the proper temperature. 
 ### "," (D) The water is the proper temperature. 

 ###  (D) "
25,25,Mercury_7220430,7220430,C,Mercury,"Which form of water, when present in the atmosphere, is most likely to contribute to global warming? (A) cloud (B) rain (C) vapor (D) snow","Which form of water, when present in the atmosphere, is most likely to contribute to global warming? ", cloud , rain , vapor , snow,,"### Which form of water, when present in the atmosphere, is most likely to contribute to global warming?  (A)  cloud  (B)  rain  (C)  vapor  (D)  snow 
 ### ","4. snow 

 ### (D)  snow 

 ### (D) snow 

 ### (D) snow 

 ### (D) snow 

 ### (D) snow 

 ###"
26,26,AKDE&ED_2008_8_51,51,A,Alaska Department of Education and Early Development,How do the circulatory system and the respiratory system depend on one another? (A) Oxygen collected by the respiratory system is carried throughout the body by the circulatory system. (B) Solid wastes collected by the circulatory system are carried throughout the body by the respiratory system. (C) Nutrients collected by the respiratory system are carried throughout the body by the circulatory system. (D) Carbon dioxide collected by the circulatory system is carried throughout the body by the respiratory system.,How do the circulatory system and the respiratory system depend on one another? , Oxygen collected by the respiratory system is carried throughout the body by the circulatory system. , Solid wastes collected by the circulatory system are carried throughout the body by the respiratory system. , Nutrients collected by the respiratory system are carried throughout the body by the circulatory system. , Carbon dioxide collected by the circulatory system is carried throughout the body by the respiratory system.,,"### How do the circulatory system and the respiratory system depend on one another?  (A)  Oxygen collected by the respiratory system is carried throughout the body by the circulatory system.  (B)  Solid wastes collected by the circulatory system are carried throughout the body by the respiratory system.  (C)  Nutrients collected by the respiratory system are carried throughout the body by the circulatory system.  (D)  Carbon dioxide collected by the circulatory system is carried throughout the body by the respiratory system. 
 ### ","
"
27,27,VASoL_2009_5_20,20,C,Virginia Standards of Learning - Science,At which location are oceans the deepest? (A) Mid-ocean ridge (B) Abyssal plain (C) Ocean trench (D) Volcanic island,At which location are oceans the deepest? , Mid-ocean ridge , Abyssal plain , Ocean trench , Volcanic island,,"### At which location are oceans the deepest?  (A)  Mid-ocean ridge  (B)  Abyssal plain  (C)  Ocean trench  (D)  Volcanic island 
 ### ","4. Volcanic island 

 ### 4. Volcanic island 

 ### 4. Volcanic island 

 ### 4. Volcanic island 

 ### 4"
28,28,Mercury_7081673,7081673,B,Mercury,Which piece of safety equipment is used to keep mold spores from entering the respiratory system? (A) safety goggles (B) breathing mask (C) rubber gloves (D) lead apron,Which piece of safety equipment is used to keep mold spores from entering the respiratory system? , safety goggles , breathing mask , rubber gloves , lead apron,,"### Which piece of safety equipment is used to keep mold spores from entering the respiratory system?  (A)  safety goggles  (B)  breathing mask  (C)  rubber gloves  (D)  lead apron 
 ### ","3. rubber gloves 

 ### 3. rubber gloves 


 ### 3. rubber gloves 


 ### 3. rub"
29,29,Mercury_SC_416097,416097,B,Mercury,Which plant part is described correctly? (A) Stems make seeds. (B) Roots absorb nutrients. (C) Leaves absorb water. (D) Flowers make food.,Which plant part is described correctly? , Stems make seeds. , Roots absorb nutrients. , Leaves absorb water. , Flowers make food.,,"### Which plant part is described correctly?  (A)  Stems make seeds.  (B)  Roots absorb nutrients.  (C)  Leaves absorb water.  (D)  Flowers make food. 
 ### "," (A)  Stems make seeds. 

 ### (A)  Stems make seeds. 


 ### (A)  Stems make seeds. 

"
30,30,Mercury_7122973,7122973,B,Mercury,A greenhouse is an example of a closed system. Which two types of energy are exchanged in this system? (A) radiant energy for nuclear energy (B) radiant energy for thermal energy (C) thermal energy for nuclear energy (D) nuclear energy for chemical energy,A greenhouse is an example of a closed system. Which two types of energy are exchanged in this system? , radiant energy for nuclear energy , radiant energy for thermal energy , thermal energy for nuclear energy , nuclear energy for chemical energy,,"### A greenhouse is an example of a closed system. Which two types of energy are exchanged in this system?  (A)  radiant energy for nuclear energy  (B)  radiant energy for thermal energy  (C)  thermal energy for nuclear energy  (D)  nuclear energy for chemical energy 
 ### ","
(A)  radiant energy for nuclear energy 

 ### (A)  radiant energy for nuclear energy 

 ###"
31,31,MCAS_2004_8_2,2,C,MCAS,"In an effort to preserve wildlife on his farm in Massachusetts, a farmer decides to stop using a 10-acre field. The farmer fences off the area, stops cutting the grass, and stops allowing livestock to graze on it. After twenty years, the area would most likely (A) be covered with moss and rocks. (B) be a mature hardwood forest. (C) be grown over with bushes and small trees. (D) be barren due to lack of maintenance.","In an effort to preserve wildlife on his farm in Massachusetts, a farmer decides to stop using a 10-acre field. The farmer fences off the area, stops cutting the grass, and stops allowing livestock to graze on it. After twenty years, the area would most likely ", be covered with moss and rocks. , be a mature hardwood forest. , be grown over with bushes and small trees. , be barren due to lack of maintenance.,,"### In an effort to preserve wildlife on his farm in Massachusetts, a farmer decides to stop using a 10-acre field. The farmer fences off the area, stops cutting the grass, and stops allowing livestock to graze on it. After twenty years, the area would most likely  (A)  be covered with moss and rocks.  (B)  be a mature hardwood forest.  (C)  be grown over with bushes and small trees.  (D)  be barren due to lack of maintenance. 
 ### ", (
32,32,MCAS_2006_8_25,25,B,MCAS,"Sal is looking at a map of Massachusetts. He has measured the distance, in inches, from Boston to Salem on the map. He wants to know how many actual miles the inches represent. What feature of the map should he look for? (A) key (B) scale (C) legend (D) compass","Sal is looking at a map of Massachusetts. He has measured the distance, in inches, from Boston to Salem on the map. He wants to know how many actual miles the inches represent. What feature of the map should he look for? ", key , scale , legend , compass,,"### Sal is looking at a map of Massachusetts. He has measured the distance, in inches, from Boston to Salem on the map. He wants to know how many actual miles the inches represent. What feature of the map should he look for?  (A)  key  (B)  scale  (C)  legend  (D)  compass 
 ### ","1. key 

 ### 1. key 

 ### 1. key "
33,33,TIMSS_1995_8_Q16,Q16,D,TIMSS,How long does it take light from the nearest star other than the Sun to reach Earth? (A) Less than 1 second (B) About 1 hour (C) About 1 month (D) About 4 years,How long does it take light from the nearest star other than the Sun to reach Earth? , Less than 1 second , About 1 hour , About 1 month , About 4 years,,"### How long does it take light from the nearest star other than the Sun to reach Earth?  (A)  Less than 1 second  (B)  About 1 hour  (C)  About 1 month  (D)  About 4 years 
 ### ","1 month 
 ### (C)  About 1 month 
 ### (C)  About 1 month 
 ### (C)  About 1 month 

 ###"
34,34,Mercury_400758,400758,C,Mercury,"Which of these groups contains only metric measurements? (A) inches, grams, ounces (B) inches, pounds, ounces (C) centimeters, grams, milliliters (D) centimeters, pounds, milliliters",Which of these groups contains only metric measurements? ," inches, grams, ounces "," inches, pounds, ounces "," centimeters, grams, milliliters "," centimeters, pounds, milliliters",,"### Which of these groups contains only metric measurements?  (A)  inches, grams, ounces  (B)  inches, pounds, ounces  (C)  centimeters, grams, milliliters  (D)  centimeters, pounds, milliliters 
 ### ","




























"
35,35,Mercury_SC_401283,401283,B,Mercury,A sea anemone uses poisonous darts to (A) absorb food. (B) defend itself. (C) attract a mate. (D) protect its young.,A sea anemone uses poisonous darts to , absorb food. , defend itself. , attract a mate. , protect its young.,,"### A sea anemone uses poisonous darts to  (A)  absorb food.  (B)  defend itself.  (C)  attract a mate.  (D)  protect its young. 
 ### "," (D)  protect its young. 

 ### (D)  protect its young. 

 ### (D)  protect its young. 

 ### (D)  protect its young. 

 ###"
36,36,Mercury_416504,416504,C,Mercury,"Both prokaryotes and eukaryotes have small, free-floating organelles. The cell makes these organelles from nucleic acids and amino acids found in food. Without these organelles, the cell could not make proteins. What are these organelles called? (A) chloroplasts (B) mitochondria (C) ribosomes (D) vesicles","Both prokaryotes and eukaryotes have small, free-floating organelles. The cell makes these organelles from nucleic acids and amino acids found in food. Without these organelles, the cell could not make proteins. What are these organelles called? ", chloroplasts , mitochondria , ribosomes , vesicles,,"### Both prokaryotes and eukaryotes have small, free-floating organelles. The cell makes these organelles from nucleic acids and amino acids found in food. Without these organelles, the cell could not make proteins. What are these organelles called?  (A)  chloroplasts  (B)  mitochondria  (C)  ribosomes  (D)  vesicles 
 ### ",2
37,37,Mercury_7240923,7240923,A,Mercury,Which statement describes the most likely effect of transformation on bacteria such as E. coli? (A) Transformed bacteria express a new protein product. (B) Transformed bacteria have multiple chromosomes. (C) Transformed bacteria reproduce more quickly. (D) Transformed bacteria become a new species.,Which statement describes the most likely effect of transformation on bacteria such as E. coli? , Transformed bacteria express a new protein product. , Transformed bacteria have multiple chromosomes. , Transformed bacteria reproduce more quickly. , Transformed bacteria become a new species.,,"### Which statement describes the most likely effect of transformation on bacteria such as E. coli?  (A)  Transformed bacteria express a new protein product.  (B)  Transformed bacteria have multiple chromosomes.  (C)  Transformed bacteria reproduce more quickly.  (D)  Transformed bacteria become a new species. 
 ### ",4. Transformed bacteria reproduce more quickly. 
38,38,Mercury_7228305,7228305,D,Mercury,The cells of organisms found in the phylum Porifera (sponges) are not organized into tissues. What structures are absent in organisms belonging to the phylum Porifera? (A) organelles (B) cells (C) genes (D) organs,The cells of organisms found in the phylum Porifera (sponges) are not organized into tissues. What structures are absent in organisms belonging to the phylum Porifera? , organelles , cells , genes , organs,,"### The cells of organisms found in the phylum Porifera (sponges) are not organized into tissues. What structures are absent in organisms belonging to the phylum Porifera?  (A)  organelles  (B)  cells  (C)  genes  (D)  organs 
 ### ","4. genes 

 ### 4. genes 

 ### 4. genes 
"
39,39,Mercury_7024360,7024360,C,Mercury,Which human activity would have the greatest positive impact on the water quality of a stream? (A) releasing warm water into the stream (B) driving cars through the stream (C) reducing use of fertilizers near the stream (D) increasing use of chemicals near the stream,Which human activity would have the greatest positive impact on the water quality of a stream? , releasing warm water into the stream , driving cars through the stream , reducing use of fertilizers near the stream , increasing use of chemicals near the stream,,"### Which human activity would have the greatest positive impact on the water quality of a stream?  (A)  releasing warm water into the stream  (B)  driving cars through the stream  (C)  reducing use of fertilizers near the stream  (D)  increasing use of chemicals near the stream 
 ### "," (D)  increasing use of chemicals near the stream 
 ### (D)  increasing use of chemicals near the stream"
40,40,TIMSS_2003_4_pg87,pg87,C,TIMSS,"Minerals are used for making many things including jewelry, chalk, and concrete. Where do we get the minerals needed to make these things? (A) from air (B) from wood (C) from rocks (D) from crops","Minerals are used for making many things including jewelry, chalk, and concrete. Where do we get the minerals needed to make these things? ", from air , from wood , from rocks , from crops,,"### Minerals are used for making many things including jewelry, chalk, and concrete. Where do we get the minerals needed to make these things?  (A)  from air  (B)  from wood  (C)  from rocks  (D)  from crops 
 ### "," (B)  from wood 

 ### (B)  from wood 

 ### (B)  from wood 

 ###"
41,41,MEAP_2005_8_31,31,D,MEAP,"When mining for coal, a mining company removes the plants and layers of soil and rock above the coal deposit, and takes the coal. When the operation is complete, the mining company returns soil and rock, covers it with a layer of topsoil, and plants trees and grass. The trees and grass help to (A) prevent a collapse of the underlying sediment. (B) limit the types of pollutants that can enter the soil. (C) increase water absorption by the replaced sediments. (D) reduce soil erosion and provide new habitat for animals.","When mining for coal, a mining company removes the plants and layers of soil and rock above the coal deposit, and takes the coal. When the operation is complete, the mining company returns soil and rock, covers it with a layer of topsoil, and plants trees and grass. The trees and grass help to ", prevent a collapse of the underlying sediment. , limit the types of pollutants that can enter the soil. , increase water absorption by the replaced sediments. , reduce soil erosion and provide new habitat for animals.,,"### When mining for coal, a mining company removes the plants and layers of soil and rock above the coal deposit, and takes the coal. When the operation is complete, the mining company returns soil and rock, covers it with a layer of topsoil, and plants trees and grass. The trees and grass help to  (A)  prevent a collapse of the underlying sediment.  (B)  limit the types of pollutants that can enter the soil.  (C)  increase water absorption by the replaced sediments.  (D)  reduce soil erosion and provide new habitat for animals. 
 ### ", (
